state_code,station_id,date,available_directions,direction_labels,n_station_directions,all_directions_clean,any_direction_parse_issue,total_records,total_volume,min_unique_hours,max_unique_hours,route,county_name,location_text,latitude,longitude,source_files,has_coordinates,availability_basis,hourly_validation_status
24,0P0001,2018-06-10,"1,5","northbound,southbound",2,True,False,48,531900,24,24,36,Maryland county 001,MD 36 - 100ft South of George's Creek Bridge (ATR#,39.579464,-78.96723,MD_JUN_2018 (TMAS).VOL,True,"At least one station-direction present in parsed June 10, 2018 hourly count extract",clean_24_hour_station
24,0P0026,2018-06-10,"3,7","eastbound,westbound",2,True,False,48,922800,24,24,40,Maryland county 001,US 40AL - .62 Mile East of MD 55 (ATR#26),39.642697,-78.876868,MD_JUN_2018 (TMAS).VOL,True,"At least one station-direction present in parsed June 10, 2018 hourly count extract",clean_24_hour_station
24,0P0070,2018-06-10,"3,7","eastbound,westbound",2,True,False,48,1671918,24,24,68,Maryland county 001,IS 68 - .15 Mile East of Structure #1081 Hillcrest,39.66847,-78.734718,MD_JUN_2018 (TMAS).VOL,True,"At least one station-direction present in parsed June 10, 2018 hourly count extract",clean_24_hour_station
24,0P0038,2018-06-10,"3,7","eastbound,westbound",2,True,False,48,2188743,24,24,100,Maryland county 003,.45 MI W OF OAKWOOD RD,39.140735,-76.626754,MD_JUN_2018 (TMAS).VOL,True,"At least one station-direction present in parsed June 10, 2018 hourly count extract",clean_24_hour_station
24,0P0066,2018-06-10,"1,5","northbound,southbound",2,True,False,48,1946917,24,24,195,Maryland county 003,IS 195 - .59 Mile North of MD 295 (ATR#66),39.209056,-76.694849,MD_JUN_2018 (TMAS).VOL,True,"At least one station-direction present in parsed June 10, 2018 hourly count extract",clean_24_hour_station
24,0P0025,2018-06-10,"1,5","northbound,southbound",2,True,False,48,2660367,24,24,295,Maryland county 003,MD 295(NB) - .81 South of MD 100 (ATR#25 Includes,39.161077,-76.73981,MD_JUN_2018 (TMAS).VOL,True,"At least one station-direction present in parsed June 10, 2018 hourly count extract",clean_24_hour_station
24,0P0024,2018-06-10,"3,7","eastbound,westbound",2,True,False,48,1994755,24,24,595,Maryland county 003,US 50/IS 595 - 1.34 Miles West of MD 424 (ATR#24),38.955895,-76.678984,MD_JUN_2018 (TMAS).VOL,True,"At least one station-direction present in parsed June 10, 2018 hourly count extract",clean_24_hour_station
24,0P0090,2018-06-10,"1,5","northbound,southbound",2,True,False,48,563100,24,24,129,Maryland county 005,MD 129 - .18 Mile South of MD 130 (ATR#90),39.408619,-76.729504,MD_JUN_2018 (TMAS).VOL,True,"At least one station-direction present in parsed June 10, 2018 hourly count extract",clean_24_hour_station
24,0P0085,2018-06-10,"3,7","eastbound,westbound",2,True,False,48,696300,24,24,439,Maryland county 005,MD 439 - .44 Mile East of IS 83 (ATR#85),39.703194,-76.635416,MD_JUN_2018 (TMAS).VOL,True,"At least one station-direction present in parsed June 10, 2018 hourly count extract",clean_24_hour_station
24,0P0013,2018-06-10,"1,5","northbound,southbound",2,True,False,48,1778200,24,24,45,Maryland county 005,MD 45 - .14 Mile South of Warren Rd (ATR#13),39.472993,-76.640244,MD_JUN_2018 (TMAS).VOL,True,"At least one station-direction present in parsed June 10, 2018 hourly count extract",clean_24_hour_station
24,0P0054,2018-06-10,"1,5","northbound,southbound",2,True,False,48,2491207,24,24,695,Maryland county 005,IS 695 - .41 Mile North of Cromwell Bridge Rd (ATR,39.405909,-76.574641,MD_JUN_2018 (TMAS).VOL,True,"At least one station-direction present in parsed June 10, 2018 hourly count extract",clean_24_hour_station
24,0P0074,2018-06-10,"1,5","northbound,southbound",2,True,False,48,1839100,24,24,695,Maryland county 005,MD 695 - 50ft South of Trappe Rd (ATR#74),39.281807,-76.483816,MD_JUN_2018 (TMAS).VOL,True,"At least one station-direction present in parsed June 10, 2018 hourly count extract",clean_24_hour_station
24,0P0077,2018-06-10,"1,5","northbound,southbound",2,True,False,48,2370584,24,24,695,Maryland county 005,IS 695 - .15 Mile North of Hollins Ferry Rd (ATR#7,39.238874,-76.668331,MD_JUN_2018 (TMAS).VOL,True,"At least one station-direction present in parsed June 10, 2018 hourly count extract",clean_24_hour_station
24,0P0053,2018-06-10,"3,7","eastbound,westbound",2,True,False,48,1993769,24,24,70,Maryland county 005,1.64 MI E OF HOWARD COUNTY LINE,39.307077,-76.766692,MD_JUN_2018 (TMAS).VOL,True,"At least one station-direction present in parsed June 10, 2018 hourly count extract",clean_24_hour_station
24,0P0027,2018-06-10,"1,5","northbound,southbound",2,True,False,48,2072534,24,24,83,Maryland county 005,IS 83 - .50 mile South of Belfast Rd (ATR#27),39.540815,-76.666332,MD_JUN_2018 (TMAS).VOL,True,"At least one station-direction present in parsed June 10, 2018 hourly count extract",clean_24_hour_station
24,0P0052,2018-06-10,"1,5","northbound,southbound",2,True,False,48,2130887,24,24,83,Maryland county 005,IS 83 - .64 Mile North of IS 695 (ATR#52),39.428381,-76.63565,MD_JUN_2018 (TMAS).VOL,True,"At least one station-direction present in parsed June 10, 2018 hourly count extract",clean_24_hour_station
24,0P0076,2018-06-10,"1,5","northbound,southbound",2,True,False,48,1985754,24,24,83,Maryland county 005,IS 83 - .04 Mile North of Old Pimlico Rd (ATR#76),39.385355,-76.662409,MD_JUN_2018 (TMAS).VOL,True,"At least one station-direction present in parsed June 10, 2018 hourly count extract",clean_24_hour_station
24,0P0071,2018-06-10,"1,5","northbound,southbound",2,False,True,72,3542020,24,24,95,Maryland county 005,IS 95 - .65 Mile North of IS 1,39.239529,-76.699033,MD_JUN_2018 (TMAS).VOL,True,"At least one station-direction present in parsed June 10, 2018 hourly count extract",present_but_one_or_more_directions_have_duplicate_or_parse_issue
24,0P0084,2018-06-10,"1,5","northbound,southbound",2,True,False,48,254100,24,24,313,Maryland county 011,MD 313 - .22 Mile South of Queen Anne's County Lin,39.065442,-75.850699,MD_JUN_2018 (TMAS).VOL,True,"At least one station-direction present in parsed June 10, 2018 hourly count extract",clean_24_hour_station
24,0P0036,2018-06-10,"3,7","eastbound,westbound",2,True,False,48,1916609,24,24,404,Maryland county 011,MD 404 - .065 Mile West of Cemetery Rd(ATR#36),38.921862,-75.944515,MD_JUN_2018 (TMAS).VOL,True,"At least one station-direction present in parsed June 10, 2018 hourly count extract",clean_24_hour_station
24,0P0058,2018-06-10,"1,5","northbound,southbound",2,True,False,48,998400,24,24,213,Maryland county 015,MD 213 - .49 Mile North of MD 310 (ATR#58),39.492502,-75.84316,MD_JUN_2018 (TMAS).VOL,True,"At least one station-direction present in parsed June 10, 2018 hourly count extract",clean_24_hour_station
